epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,346.749,0.97496,0.73048,1.13914,0.79869,0.7125,0.78308,0.54676,1.05079,0.90554,1.2574,0.0011486,0.0011486,0.0011486
45,353.857,0.9295,0.68833,1.11601,0.82112,0.70769,0.78029,0.55525,1.06357,0.80608,1.24808,0.0011288,0.0011288,0.0011288
46,361.074,0.96127,0.71088,1.13898,0.82076,0.74411,0.81271,0.6024,0.91624,0.88863,1.10568,0.001109,0.001109,0.001109
47,370.937,0.94312,0.68478,1.1198,0.83571,0.76667,0.81376,0.58228,1.06226,0.73621,1.31673,0.0010892,0.0010892,0.0010892
48,378.131,0.90824,0.66462,1.10502,0.83938,0.76667,0.81614,0.59416,0.97807,0.79543,1.15497,0.0010694,0.0010694,0.0010694
49,385.318,0.89639,0.66412,1.10596,0.80434,0.82217,0.84665,0.59101,1.14814,0.81627,1.37087,0.0010496,0.0010496,0.0010496
50,392.744,0.8998,0.67836,1.11647,0.78389,0.75833,0.77827,0.56142,1.12428,1.01526,1.31768,0.0010298,0.0010298,0.0010298
51,399.953,0.88478,0.63532,1.09723,0.87082,0.78648,0.8474,0.62128,1.05093,0.69216,1.22129,0.00101,0.00101,0.00101
52,409.771,0.91053,0.63421,1.10297,0.85417,0.73218,0.80543,0.58452,1.00453,0.91435,1.17426,0.0009902,0.0009902,0.0009902
53,416.979,0.88139,0.62704,1.1011,0.79227,0.7875,0.82712,0.59018,1.05994,0.74347,1.27629,0.0009704,0.0009704,0.0009704
54,424.286,0.87389,0.62628,1.09325,0.86878,0.79167,0.82783,0.60436,1.01387,0.80071,1.25006,0.0009506,0.0009506,0.0009506
55,431.438,0.8855,0.61299,1.08564,0.88254,0.7875,0.82981,0.60688,0.93703,0.86331,1.11681,0.0009308,0.0009308,0.0009308
56,438.534,0.83878,0.61025,1.0694,0.84044,0.79006,0.81653,0.61623,0.95576,0.80882,1.16866,0.000911,0.000911,0.000911
57,445.932,0.86343,0.57854,1.07628,0.8755,0.73253,0.8003,0.57567,1.02896,0.69236,1.27211,0.0008912,0.0008912,0.0008912
58,453.198,0.85021,0.57803,1.06538,0.88635,0.79583,0.85133,0.6177,0.92847,0.66686,1.13583,0.0008714,0.0008714,0.0008714
59,460.325,0.83204,0.58995,1.05853,0.83364,0.77253,0.82965,0.60071,0.90943,0.74668,1.11426,0.0008516,0.0008516,0.0008516
60,467.552,0.83712,0.56735,1.06372,0.8349,0.81667,0.83503,0.61797,0.88965,0.7969,1.13854,0.0008318,0.0008318,0.0008318
61,474.692,0.81348,0.57342,1.05845,0.8983,0.77288,0.83229,0.61663,0.90247,0.69229,1.13169,0.000812,0.000812,0.000812
62,481.841,0.83501,0.56895,1.07129,0.83352,0.77189,0.82492,0.59746,1.08942,0.75685,1.3663,0.0007922,0.0007922,0.0007922
63,489.374,0.82041,0.5496,1.07785,0.88535,0.75417,0.85135,0.63056,0.94387,0.70906,1.18761,0.0007724,0.0007724,0.0007724
64,499.144,0.84847,0.59528,1.08289,0.89035,0.75417,0.8305,0.60953,1.0136,0.72311,1.30042,0.0007526,0.0007526,0.0007526
65,506.428,0.81932,0.55612,1.05901,0.89626,0.75598,0.83017,0.62343,0.92625,0.75701,1.11149,0.0007328,0.0007328,0.0007328
66,513.8,0.8047,0.55173,1.04372,0.86893,0.72083,0.81589,0.60803,0.95464,0.74254,1.13565,0.000713,0.000713,0.000713
67,520.96,0.79222,0.53497,1.03539,0.89088,0.77083,0.83562,0.61194,0.96374,0.71223,1.1754,0.0006932,0.0006932,0.0006932
68,528.089,0.76738,0.52965,1.04412,0.85056,0.77083,0.83299,0.62074,0.95196,0.72948,1.21446,0.0006734,0.0006734,0.0006734
69,535.315,0.75982,0.51808,1.02982,0.87602,0.775,0.83071,0.62618,0.93762,0.71707,1.20223,0.0006536,0.0006536,0.0006536
70,542.862,0.77768,0.52372,1.02947,0.87805,0.78,0.83723,0.61938,0.97745,0.73791,1.20694,0.0006338,0.0006338,0.0006338
71,550.078,0.76276,0.53572,1.04264,0.86942,0.77677,0.85151,0.62961,0.96217,0.72416,1.14148,0.000614,0.000614,0.000614
72,557.232,0.7479,0.5062,1.03724,0.86804,0.7875,0.83866,0.63751,0.90722,0.75703,1.12196,0.0005942,0.0005942,0.0005942
73,567.159,0.74294,0.49642,1.0142,0.88791,0.77917,0.83938,0.62093,0.94382,0.79343,1.12408,0.0005744,0.0005744,0.0005744
74,574.533,0.73195,0.50965,1.0222,0.88344,0.77917,0.84523,0.63416,0.94918,0.73157,1.15819,0.0005546,0.0005546,0.0005546
75,581.673,0.73729,0.49901,1.02896,0.89443,0.77662,0.845,0.64059,0.93931,0.70658,1.21251,0.0005348,0.0005348,0.0005348
76,591.805,0.7147,0.48885,1.03232,0.87607,0.78333,0.83088,0.62499,0.94787,0.70528,1.2317,0.000515,0.000515,0.000515
77,598.991,0.74756,0.48138,1.01267,0.86181,0.79583,0.84323,0.63852,0.94645,0.66884,1.23279,0.0004952,0.0004952,0.0004952
78,606.237,0.74645,0.5055,1.03486,0.86619,0.80914,0.84749,0.63959,0.94707,0.68641,1.23019,0.0004754,0.0004754,0.0004754
79,613.679,0.72247,0.47461,1.02013,0.88831,0.78333,0.85061,0.63894,0.89505,0.70156,1.11516,0.0004556,0.0004556,0.0004556
80,620.953,0.72975,0.48792,1.01428,0.8997,0.78485,0.8491,0.64901,0.91285,0.64109,1.13953,0.0004358,0.0004358,0.0004358
81,630.69,0.73387,0.48799,1.0209,0.85602,0.79274,0.84242,0.64579,0.89411,0.6504,1.10298,0.000416,0.000416,0.000416
82,637.939,0.71331,0.4696,1.01265,0.89857,0.77518,0.84717,0.65597,0.84302,0.66568,1.07778,0.0003962,0.0003962,0.0003962
83,647.862,0.6955,0.46551,1.01115,0.86276,0.81202,0.85377,0.64938,0.94456,0.6831,1.2001,0.0003764,0.0003764,0.0003764
84,655.058,0.69117,0.45869,1.00434,0.94216,0.75417,0.86562,0.65273,0.87247,0.69133,1.11212,0.0003566,0.0003566,0.0003566
85,662.31,0.69638,0.4544,0.99817,0.86392,0.82004,0.87102,0.65665,0.90949,0.66777,1.13743,0.0003368,0.0003368,0.0003368
86,672.13,0.68799,0.44477,0.99979,0.92072,0.7875,0.87371,0.66257,0.87814,0.71553,1.08108,0.000317,0.000317,0.000317
87,681.952,0.68114,0.43527,0.98989,0.89619,0.79136,0.8613,0.66489,0.86421,0.59909,1.08836,0.0002972,0.0002972,0.0002972
88,691.841,0.68251,0.43871,0.99428,0.91262,0.78335,0.86225,0.65786,0.9652,0.56327,1.24883,0.0002774,0.0002774,0.0002774
89,698.905,0.65816,0.42817,0.9882,0.93404,0.767,0.8678,0.6687,1.00289,0.56396,1.31863,0.0002576,0.0002576,0.0002576
90,708.565,0.66871,0.42975,0.99507,0.84421,0.82083,0.85256,0.65878,0.90349,0.64886,1.18101,0.0002378,0.0002378,0.0002378
91,716.545,0.57501,0.38851,0.91762,0.86282,0.80833,0.83454,0.63514,0.95428,0.64742,1.24153,0.000218,0.000218,0.000218
92,723.799,0.57485,0.35749,0.92505,0.86899,0.80151,0.84764,0.66347,0.91236,0.63948,1.2427,0.0001982,0.0001982,0.0001982
93,730.882,0.54879,0.32676,0.90888,0.92121,0.76667,0.85169,0.66477,0.90755,0.64432,1.20062,0.0001784,0.0001784,0.0001784
94,738.038,0.54818,0.31928,0.90869,0.89164,0.78333,0.85438,0.66701,0.86299,0.64115,1.10742,0.0001586,0.0001586,0.0001586
95,745.177,0.55123,0.32241,0.91072,0.90975,0.79583,0.85125,0.66315,0.90027,0.65239,1.17303,0.0001388,0.0001388,0.0001388
96,752.555,0.55895,0.32081,0.90851,0.91169,0.7875,0.85882,0.66584,0.93076,0.59965,1.23965,0.000119,0.000119,0.000119
97,759.776,0.54829,0.31197,0.90241,0.92248,0.79336,0.85812,0.67583,0.89816,0.64672,1.16683,9.92e-05,9.92e-05,9.92e-05
98,769.61,0.5264,0.31105,0.90612,0.923,0.7991,0.85903,0.6677,0.87508,0.64131,1.12951,7.94e-05,7.94e-05,7.94e-05
99,776.703,0.51792,0.2977,0.88987,0.9242,0.8,0.86048,0.66896,0.86605,0.63322,1.12293,5.96e-05,5.96e-05,5.96e-05
100,784.153,0.52016,0.29821,0.8994,0.91406,0.7977,0.85845,0.67012,0.88336,0.64079,1.1439,3.98e-05,3.98e-05,3.98e-05
